Width ,Height, StrideI, StrideO, Bandwidth_GBs
8,8,8,8,0.0384546
8,8,8,8,0.0419751
8,8,8,8,0.0387043
8,8,8,8,0.0416816
8,8,8,8,0.0389573
8,8,8,8,0.0394733
8,8,8,8,0.0394733
8,8,8,8,0.0480683
136,136,136,136,7.86564
136,136,136,136,7.86564
136,136,136,136,7.62201
136,136,136,136,7.42489
136,136,136,136,7.52216
136,136,136,136,7.14761
136,136,136,136,7.72455
136,136,136,136,8.01197
264,264,264,264,14.9906
264,264,264,264,19.551
264,264,264,264,14.3288
264,264,264,264,20.9385
264,264,264,264,14.5864
264,264,264,264,14.4243
264,264,264,264,14.6192
264,264,264,264,14.2034
392,392,392,392,28.006
392,392,392,392,18.1153
392,392,392,392,18.4659
392,392,392,392,17.1596
392,392,392,392,26.7497
392,392,392,392,26.6005
392,392,392,392,27.4685
392,392,392,392,17.5166
520,520,520,520,16.3526
520,520,520,520,15.4972
520,520,520,520,17.1313
520,520,520,520,16.8561
520,520,520,520,15.6416
520,520,520,520,12.4545
520,520,520,520,17.004
520,520,520,520,15.8184
648,648,648,648,12.9364
648,648,648,648,12.0961
648,648,648,648,13.3152
648,648,648,648,12.7633
648,648,648,648,13.7748
648,648,648,648,13.7216
648,648,648,648,22.6705
648,648,648,648,12.0402
776,776,776,776,10.5695
776,776,776,776,11.6498
776,776,776,776,12.0425
776,776,776,776,12.3393
776,776,776,776,10.7068
776,776,776,776,17.7643
776,776,776,776,10.7767
776,776,776,776,11.9936
904,904,904,904,11.6482
904,904,904,904,11.6393
904,904,904,904,11.7725
904,904,904,904,11.5703
904,904,904,904,11.0995
904,904,904,904,19.6563
904,904,904,904,19.1953
904,904,904,904,19.2779
